,kms_driven,owner,mileage,power,brand,engine,age,city,city_tier,price
5735,1500.0,1,35.0,19.0,Bajaj,,5,Ajnala,3,78000.0
5736,30000.0,1,38.0,18.28,Honda,150,10,Rohtak,3,55000.0
5737,10000.0,1,35.0,25.0,KTM,200,7,Delhi,1,140000.0
5738,35600.0,1,5.0,8.2,Hero,100,8,Delhi,1,31500.0
5739,3500.0,1,,29.6,KTM,250,5,Delhi,1,5000.0
5740,,1,45.0,17.3,TVS,180,6,Balangir,3,62000.0
5741,,1,40.0,20.7,TVS,,5,Mohali,3,95000.0
5742,5500.0,1,35.0,25.0,KTM,200,7,Pune,1,139999.0
5743,,1,38.0,26.15,Honda,,8,Bellary,3,85000.0
5744,7900.0,1,25.0,27.2,Royal,500,6,Pune,1,137999.0
5745,6900.0,1,42.0,16.0,Yamaha,150,5,Delhi,1,100000.0
5746,3500.0,1,26.0,42.3,KTM,390,5,Pune,1,220000.0
5747,50000.0,1,45.0,13.0,Yamaha,150,7,Arrah,3,30000.0
5748,15000.0,1,38.0,21.0,Bajaj,,5,Kottayam,3,67700.0
5749,8500.0,1,35.0,24.8,UM,,5,Faridabad,2,130000.0
5750,13000.0,1,35.0,25.1,KTM,200,5,Patna,2,155000.0
5751,9000.0,1,35.0,25.1,KTM,200,5,Adoni,3,150000.0
5752,,1,80.0,9.1,Bajaj,,8,Ahmedabad,1,25000.0
5753,8000.0,1,26.0,43.0,KTM,390,7,Mumbai,1,154000.0
5754,10300.0,1,50.0,14.3,Bajaj,,6,Patiala,3,58000.0
5755,13000.0,1,25.0,44.0,KTM,390,8,Jaipur,2,102500.0
5756,4508.0,1,42.0,16.0,Yamaha,150,5,Mumbai,1,106000.0
5757,,1,58.0,13.0,Yamaha,150,10,Raipur,2,35000.0
5758,8000.0,1,50.0,14.3,Bajaj,,6,Hyderabad,1,65000.0
5759,700.0,1,26.0,42.3,KTM,390,5,Saharanpur,3,230000.0
5760,17000.0,1,42.0,16.7,Yamaha,150,5,Ranchi,3,90000.0
5761,,1,,34.5,Bajaj,,5,Mumbai,1,140000.0
5762,5000.0,1,38.0,21.0,Bajaj,220,5,Pune,1,80000.0
5763,65000.0,1,37.0,19.0,Royal,350,18,Saharanpur,3,50000.0
5764,,1,65.0,13.0,Bajaj,,5,Bangalore,1,60000.0
5765,3000.0,1,35.0,24.8,UM,,5,Rohtak,3,149000.0
5766,,2,80.0,7.7,Bajaj,100,12,Qadian,3,19269.0
5767,9500.0,1,35.0,25.1,KTM,200,6,Mumbai,1,140000.0
5768,5500.0,1,40.0,14.6,Suzuki,150,4,Bangalore,1,99999.0
5769,,1,80.0,7.7,Bajaj,100,10,Jaipur,2,20400.0
5770,6500.0,1,5.0,8.2,Hero,100,6,Thane,3,42000.0
5771,9500.0,1,35.0,24.8,UM,,4,Bangalore,1,175000.0
5772,11050.0,1,40.0,14.6,Suzuki,150,5,Bhubaneshwar,3,75000.0
5773,11500.0,1,26.0,42.3,KTM,390,6,Mumbai,1,150000.0
5774,,1,,34.5,Bajaj,,5,Delhi,1,135000.0
5775,,1,38.0,18.28,Honda,150,6,Gurgaon,3,93200.0
5776,2000.0,1,25.0,27.2,Royal,500,5,Pune,1,180000.0
5777,,1,80.0,7.7,Bajaj,100,9,Jaipur,2,25000.0
5778,33500.0,1,25.0,27.2,Royal,500,9,Surat,2,100000.0
5779,,1,104.0,8.2,Bajaj,100,5,Jaipur,2,43000.0
5780,7500.0,1,45.0,14.3,Bajaj,,5,Hyderabad,1,76000.0
5781,3900.0,1,42.0,16.0,Yamaha,150,5,Pune,1,110000.0
5782,6500.0,1,35.0,25.1,KTM,200,6,Delhi,1,140000.0
5783,20000.0,1,26.0,43.0,KTM,390,7,Navi mumbai,3,120000.0
